Row,Column,Sample Type,Replicate #,*Target Name,*Sample Name,*Biological Set Name,*Well Note,Starting Quantity,Units
E,1,Std,25,CCND2-3,,C2-3_F10-dCCND2,1,5.12E-02,copy number
E,2,Std,26,CCND2-3,,C2-3_F10-dCCND2,1,2.56E-02,copy number
E,3,Std,27,CCND2-3,,C2-3_F10-dCCND2,1,1.28E-02,copy number
E,10,Unkn,,CCND2-3,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
E,11,Unkn,,CCND2-3,no ab,C2-3_F10-dCCND2,100,N/A,copy number
E,12,Unkn,,CCND2-3,no ab,C2-3_F10-dCCND2,100,N/A,copy number
E,7,Unkn,,CCND2-3,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
E,8,Unkn,,CCND2-3,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
E,9,Unkn,,CCND2-3,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
F,4,Std,34,Spacer,,C2-2_F10-dCCND2,1,6.40E-03,copy number
F,5,Std,35,Spacer,,C2-2_F10-dCCND2,1,3.20E-03,copy number
F,6,Std,36,Spacer,,C2-2_F10-dCCND2,1,1.60E-03,copy number
F,1,Std,31,Spacer,,C2-2_F10-dCCND2,1,5.12E-02,copy number
F,2,Std,32,Spacer,,C2-2_F10-dCCND2,1,2.56E-02,copy number
F,3,Std,33,Spacer,,C2-2_F10-dCCND2,1,1.28E-02,copy number
F,10,Unkn,,Spacer,CBX2,C2-2_F10-dCCND2,100,N/A,copy number
F,11,Unkn,,Spacer,no ab,C2-2_F10-dCCND2,100,N/A,copy number
F,12,Unkn,,Spacer,no ab,C2-2_F10-dCCND2,100,N/A,copy number
F,7,Unkn,,Spacer,BMI1,C2-2_F10-dCCND2,100,N/A,copy number
F,8,Unkn,,Spacer,BMI1,C2-2_F10-dCCND2,100,N/A,copy number
F,9,Unkn,,Spacer,CBX2,C2-2_F10-dCCND2,100,N/A,copy number
G,4,Std,40,KLF14-1,,C2-2_F10-dCCND2,1,6.40E-03,copy number
G,5,Std,41,KLF14-1,,C2-2_F10-dCCND2,1,3.20E-03,copy number
G,6,Std,42,KLF14-1,,C2-2_F10-dCCND2,1,1.60E-03,copy number
G,1,Std,37,KLF14-1,,C2-2_F10-dCCND2,1,5.12E-02,copy number
G,2,Std,38,KLF14-1,,C2-2_F10-dCCND2,1,2.56E-02,copy number
G,3,Std,39,KLF14-1,,C2-2_F10-dCCND2,1,1.28E-02,copy number
G,10,Unkn,,KLF14-1,CBX2,C2-2_F10-dCCND2,100,N/A,copy number
G,11,Unkn,,KLF14-1,no ab,C2-2_F10-dCCND2,100,N/A,copy number
G,12,Unkn,,KLF14-1,no ab,C2-2_F10-dCCND2,100,N/A,copy number
G,7,Unkn,,KLF14-1,BMI1,C2-2_F10-dCCND2,100,N/A,copy number
G,8,Unkn,,KLF14-1,BMI1,C2-2_F10-dCCND2,100,N/A,copy number
G,9,Unkn,,KLF14-1,CBX2,C2-2_F10-dCCND2,100,N/A,copy number
H,2,NTC,,KLF14-1,,,,N/A,copy number
H,1,NTC,,Spacer,,,,N/A,copy number
H,3,NTC,,CCND2-1,,,,N/A,copy number
H,5,NTC,,CCND2-3,,,,N/A,copy number
H,4,NTC,,CCND2-2*,,,,N/A,copy number
